DOY	Etr	ETP	NDVI	Rain	T_5cm	T_10cm	T_20cm	T_30cm_2	T_40cm	T_50cm	SWUpper_Avg	SWLower_Avg	LWUpperCo_Avg	LWLowerCo_Avg	Trad_apo	Ta_2m	Ta_3m	RH_2M	RH_3M	WS_ms_2M_Avg	WS_ms_3M_Avg	IAFactivo	Gcorregido					
242	3.277645983	1.70	0.342887746	0.600	282.742	283.128	283.797	284.311	11.363	11.158	183.2498542	28.74670833	284.2708333	362.1430556	281.95	282.20	282.71	81.7	80.5	2.514	2.879	0.96	7.04					
243	1.076333743	1.63	0.352299511	0.200	283.214	283.231	283.433	283.723	10.792	10.805	193.8663403	31.5026875	287.8819444	362.7708333	282.39	281.62	282.12	71.37	68.81	1.613	1.956	0.91	1.24					
244	0.554650251	1.06	0.364855953	0.200	281.936	282.406	282.949	283.372	10.500	10.578	201.4407708	34.75736806	266.0201389	346.275	279.23	277.97	278.27	87.9	86.2	1.206	1.479	1.02	11.92					
245	0.316758603	0.75	0.367955434	0.500	279.363	280.297	281.504	282.434	9.904	10.233	138.6882917	24.44658333	267.8458333	332.3645833	276.42	275.61	275.99	92	91.1	6.638	7.274	1.15	16.37					
246	0.223460108	1.32	0.377711323	0.000	279.478	279.856	280.630	281.513	9.105	9.658	225.5982639	38.28566667	242.8055556	341.4083333	278.08	277.16	277.44	82.2	81.3	5.636	6.216	1.20	5.19					
247	0.169509708	0.92	0.387992048	0.000	279.723	279.986	280.552	281.219	8.683	9.205	154.4713194	26.65645139	279.4354167	339.7479167	278.09	276.23	276.51	87.1	86.2	0.738	0.979	1.15	5.57					
248	0.24653329	1.14	0.395671681	0.000	279.837	280.062	280.478	281.038	8.445	8.928	180.1989167	32.04641667	264.7375	340.4277778	278.15	276.32	276.60	86.2	85.8	3.899	4.138	1.19	2.57					
249	0.227889938	0.61	0.406103432	0.000	280.745	280.741	280.860	281.186	8.421	8.789	61.57945833	9.792576389	328.0694444	352.4479167	280.60	279.54	279.85	93.6	92.9	3.755	4.127	1.30	-1.63					
250	0	0.43	0.416483976	4.200	282.871	282.372	281.840	281.712	8.675	8.852	64.47416667	8.240201389	359.7298611	366.2118056	283.32	282.35	282.66	99.9	99.6	2.998	0	1.96	-10.21					
251	0	1.18	0.425425685	0.100	284.937	284.138	283.109	282.592	9.260	9.178	139.9310556	21.29684722	347.6770833	375.7493056	285.28	283.41	283.69	99.8	99.4	1.915	2.356	1.84	-16.10					
252	0	0.28	0.432044214	0.500	283.894	283.895	283.691	283.413	10.009	9.718	39.95229861	5.652965278	359.2541667	365.86875	283.26	282.42	282.75	99.9	99.6	4.334	0	2.06	2.22					
253	0.118843641	1.26	0.435729896	0.000	283.968	283.725	283.404	283.298	10.119	9.985	169.6638472	27.29885417	298.1958333	363.0055556	282.61	281.38	281.71	97.5	96.1	1.842	2.395	1.98	-0.85					
254	0.292704933	1.20	0.442588745	0.100	283.196	283.196	283.198	283.270	10.177	10.092	146.455625	24.56609722	323.0201389	357.375	281.74	279.14	279.35	94.5	93.9	2.392	2.778	2.06	-0.79					
255	0.623360771	2.12	0.462614426	0.000	283.051	282.944	282.917	283.071	10.076	10.092	234.1578542	42.30772917	275.4888889	362.4993056	282.24	281.00	281.37	87.5	87	7.007	8.1	1.98	-1.99					
256	0.906985768	1.73	0.478077506	0.000	284.611	284.208	283.678	283.435	10.215	10.122	216.8207083	37.35480556	307.5923611	370.8993056	284.45	281.39	281.58	97.6	97.1	2.975	3.3	2.25	-10.86					
257	1.189674072	2.03	0.494538468	0.000	284.884	284.582	284.152	283.889	10.583	10.369	204.9250625	36.9100625	320.7090278	375.2743056	284.90	283.50	283.75	95.9	95.4	3.724	4.327	2.43	-7.55					
258	0.757798882	0.68	0.508556911	6.600	284.329	284.408	284.343	284.199	10.894	10.637	62.0401875	12.79895139	346.1506944	367.8756944	283.43	283.16	283.51	90.1	88.7	0.667	0.736	3.24	4.45					
259	0	2.67	0.52490036	0.000	283.171	283.345	283.564	283.795	10.785	10.721	248.0077847	44.14050694	278.8236111	358.9902778	281.73	281.63	282.06	59.83	57.62	3.645	3.763	2.67	3.32					
260	0.78342847	3.90	0.539047332	0.000	283.293	283.076	283.101	283.382	10.490	10.573	245.1012639	45.37763194	283.6493056	371.2965278	283.58	284.09	284.54	75.34	73.15	2.342	2.93	2.39	-6.35					
261	0.937786505	2.80	0.555427501	0.000	284.387	283.988	283.673	283.620	10.526	10.512	252.5802986	47.84772917	272.7381944	373.1763889	284.41	283.41	283.66	54.53	53.7	4.171	5.338	2.48	-9.21					
262	1.236941798	3.31	0.562704638	0.000	284.836	284.694	284.370	284.122	10.844	10.675	226.4604583	43.01620833	287.0104167	364.6055556	282.85	282.11	282.48	61.52	57.54	2.893	3.507	2.57	2.54					
263	1.123981213	4.09	0.583365771	0.000	283.448	283.373	283.521	283.777	10.806	10.787	258.8312083	50.27141667	262.6055556	362.2145833	282.22	281.88	282.41	56.97	52.01	2.759	3.294	2.58	-3.98					
264	1.438827426	3.42	0.59258444	0.000	284.079	283.829	283.705	283.761	10.708	10.715	243.8241319	47.30073611	268.1666667	363.7111111	282.61	281.88	282.28	84.7	81.6	2.09	2.883	2.79	-3.45					
265	1.394363393	3.35	0.598900644	0.000	284.352	283.905	283.678	283.743	10.708	10.714	264.2832222	51.64961111	261.7173611	368.4451389	283.52	282.35	282.78	41.76	40.93	4.049	4.891	2.90	-10.62					
266	1.542141424	4.34	0.605327545	0.000	285.143	284.708	284.307	284.130	10.921	10.804	226.5852986	45.24778472	289.5631944	376.34375	285.04	284.78	285.12	61.88	60.45	2.509	3.508	3.13	-8.63					
267	1.91211326	3.99	0.614457695	0.000	288.106	286.800	285.499	284.800	11.326	11.050	248.5993194	48.0973125	318.1125	401.8472222	289.74	289.74	290.22	70.59	68.29	1.445	1.88	3.35	-25.50					
